,Unnamed: 0,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category
0,0,82948,95.0,0.0,0.0,71.0,25098.0,5.0,7.0,1992.0,1,0,7708.0,1456.0,429.0,0.0,8,8299141.2,Basic
1,1,91757,82.0,0.0,0.0,78.0,92525.0,8.0,4.0,2012.0,1,1,5258.0,1106.0,628.0,0.0,6,9182239.2,Basic
2,2,55757,6.0,0.0,1.0,51.0,19826.0,9.0,10.0,2020.0,0,0,8020.0,4350.0,339.0,1.0,9,5578966.0,Basic
3,3,10683,79.0,0.0,0.0,50.0,78265.0,2.0,6.0,2005.0,0,0,8178.0,5473.0,195.0,0.0,5,1071100.5,Basic
4,4,36904,99.0,1.0,1.0,68.0,41334.0,1.0,9.0,2020.0,1,0,4683.0,5461.0,527.0,0.0,4,3698721.0,Luxury
5,5,67849,40.0,0.0,1.0,94.0,87050.0,5.0,1.0,1996.0,1,0,4405.0,7746.0,719.0,0.0,4,6792498.6,Basic
6,6,34893,45.0,1.0,1.0,21.0,37937.0,4.0,2.0,1995.0,0,0,3494.0,110.0,897.0,0.0,8,3495808.5,Basic
7,7,21479,66.0,1.0,1.0,75.0,92948.0,3.0,5.0,1998.0,1,1,1373.0,8613.0,409.0,0.0,0,2157779.8,Luxury
8,8,9145,20.0,1.0,0.0,59.0,73838.0,2.0,5.0,2009.0,1,0,8147.0,3620.0,841.0,0.0,4,919003.9,Basic
9,9,18040,80.0,1.0,1.0,62.0,61643.0,9.0,1.0,2016.0,1,0,3029.0,3408.0,157.0,0.0,4,1813007.6,Luxury
10,10,63755,9.0,0.0,1.0,77.0,39080.0,7.0,6.0,1999.0,0,1,7286.0,5525.0,389.0,0.0,8,6383188.9,Basic
11,11,32546,23.0,0.0,1.0,58.0,51315.0,4.0,6.0,2001.0,1,0,9834.0,3247.0,643.0,0.0,7,3262467.1,Basic
12,12,91624,29.0,0.0,1.0,20.0,57853.0,1.0,6.0,2013.0,0,1,877.0,3446.0,682.0,1.0,10,9168443.3,Basic
13,13,53633,48.0,1.0,0.0,43.0,58011.0,5.0,3.0,2010.0,1,0,6352.0,4931.0,774.0,0.0,6,5370339.0,Basic
14,14,8300,93.0,0.0,1.0,72.0,25524.0,6.0,1.0,2005.0,1,0,2740.0,5630.0,453.0,1.0,10,837253.5,Basic
15,15,58492,82.0,1.0,1.0,87.0,95914.0,10.0,3.0,2005.0,0,1,8483.0,1100.0,829.0,1.0,8,5860459.5,Basic
16,16,70742,95.0,1.0,1.0,99.0,90573.0,4.0,1.0,1993.0,0,1,552.0,1971.0,261.0,1.0,2,7091010.3,Basic
17,17,73717,72.0,1.0,1.0,39.0,93032.0,3.0,9.0,2017.0,1,1,2569.0,3531.0,449.0,0.0,9,7380635.7,Luxury
18,18,22541,99.0,1.0,1.0,27.0,30951.0,3.0,5.0,2011.0,1,0,4339.0,4606.0,419.0,0.0,10,2264203.1,Luxury
19,19,28720,60.0,1.0,0.0,2.0,21334.0,10.0,9.0,1993.0,1,0,1140.0,4246.0,836.0,0.0,10,2876831.3,Basic
20,20,70202,2.0,1.0,0.0,19.0,45522.0,3.0,1.0,2010.0,0,1,9899.0,7981.0,349.0,1.0,4,7025433.0,Basic
21,21,47671,64.0,1.0,1.0,78.0,42268.0,7.0,1.0,2015.0,0,0,5479.0,5662.0,765.0,0.0,8,4773675.5,Basic
22,22,88140,,1.0,1.0,75.0,71010.0,4.0,7.0,2011.0,1,0,3339.0,2056.0,657.0,1.0,6,8828417.1,Luxury
23,23,54831,88.0,1.0,0.0,81.0,76550.0,5.0,3.0,2001.0,0,1,7826.0,8499.0,822.0,1.0,2,5492297.1,Basic
24,24,98350,34.0,1.0,1.0,96.0,23526.0,5.0,5.0,2002.0,0,0,8127.0,1770.0,178.0,0.0,10,9843345.2,Basic
25,25,2346,97.0,1.0,1.0,68.0,84817.0,4.0,3.0,2010.0,0,0,5977.0,1702.0,970.0,1.0,7,244992.0,Basic
26,26,62757,74.0,0.0,1.0,31.0,70668.0,2.0,4.0,2006.0,0,0,5656.0,5336.0,761.0,0.0,5,6281435.6,Basic
27,27,88584,15.0,1.0,1.0,87.0,6279.0,10.0,4.0,2011.0,0,0,7946.0,2319.0,769.0,0.0,5,8867048.1,Basic
28,28,99184,35.0,0.0,0.0,21.0,14204.0,7.0,,2006.0,0,1,2451.0,3283.0,659.0,1.0,5,9920683.6,Basic
29,29,49940,50.0,0.0,1.0,86.0,98886.0,3.0,6.0,2001.0,1,0,4074.0,2440.0,409.0,1.0,2,5005731.1,Basic
30,30,40286,85.0,0.0,1.0,51.0,21492.0,8.0,2.0,1993.0,1,0,5570.0,6932.0,500.0,1.0,9,4035154.3,Basic
31,31,56223,1.0,1.0,0.0,73.0,85113.0,10.0,4.0,1993.0,1,0,4302.0,1928.0,115.0,0.0,1,5634379.3,Basic
32,32,34910,64.0,1.0,1.0,4.0,69586.0,4.0,7.0,2020.0,1,0,8602.0,2118.0,812.0,1.0,10,3499187.0,Luxury
33,33,56614,98.0,0.0,0.0,13.0,32272.0,5.0,1.0,1997.0,1,1,7692.0,6556.0,880.0,0.0,4,5662574.7,Basic
34,34,52610,2.0,0.0,1.0,69.0,63116.0,5.0,2.0,2009.0,0,1,7247.0,592.0,478.0,1.0,3,5270005.9,Basic
35,35,18966,58.0,1.0,0.0,25.0,4414.0,10.0,4.0,2019.0,1,1,2327.0,7431.0,823.0,0.0,0,1902151.9,Basic
